id,title,estimate_player,url,price,discount,popularity
578080,"PLAYERUNKNOWN'S BATTLEGROUNDS",36604134,https://steampricehistory.com/app/578080,29.99,0.0,"1,382,744"
550,"Left 4 Dead 2",23143723,https://steampricehistory.com/app/550,9.99,0.0,"313,562"
218620,"PAYDAY 2",18643807,https://steampricehistory.com/app/218620,9.99,0.0,"304,867"
4000,"Garry's Mod",18576379,https://steampricehistory.com/app/4000,9.99,0.0,"557,779"
240,"Counter-Strike: Source",15001876,https://steampricehistory.com/app/240,9.99,0.0,"75,369"
72850,"The Elder Scrolls V: Skyrim",13235488,https://steampricehistory.com/app/72850,19.99,0.0,"174,055"
105600,Terraria,13132545,https://steampricehistory.com/app/105600,9.99,0.0,"536,708"
620,"Portal 2",13062700,https://steampricehistory.com/app/620,9.99,0.0,"185,085"
8930,"Sid Meier's Civilization V",12701498,https://steampricehistory.com/app/8930,29.99,0.0,"105,885"
49520,"Borderlands 2",11218936,https://steampricehistory.com/app/49520,4.99,-75%,"163,139"
400,Portal,9971481,https://steampricehistory.com/app/400,9.99,0.0,"68,420"
252490,Rust,9147240,https://steampricehistory.com/app/252490,39.99,0.0,"441,040"
346110,"ARK: Survival Evolved",9103947,https://steampricehistory.com/app/346110,10.0,-80%,"319,463"
220,"Half-Life 2",8877286,https://steampricehistory.com/app/220,9.99,0.0,"86,260"
219640,"Chivalry: Medieval Warfare",8260157,https://steampricehistory.com/app/219640,24.99,0.0,"45,209"
1250,"Killing Floor",7395545,https://steampricehistory.com/app/1250,19.99,0.0,"34,270"
113200,"The Binding of Isaac",7172818,https://steampricehistory.com/app/113200,4.99,0.0,"36,977"
377160,"Fallout 4",6601188,https://steampricehistory.com/app/377160,29.99,0.0,"140,761"
107410,"Arma 3",6404450,https://steampricehistory.com/app/107410,29.99,0.0,"134,000"
255710,"Cities: Skylines",6132366,https://steampricehistory.com/app/255710,7.49,-75%,"110,792"
222880,Insurgency,6007744,https://steampricehistory.com/app/222880,14.99,0.0,"83,615"
227300,"Euro Truck Simulator 2",5982548,https://steampricehistory.com/app/227300,19.99,0.0,"294,564"
221380,"Age of Empires II HD",5824316,https://steampricehistory.com/app/221380,19.99,0.0,"70,910"
381210,"Dead by Daylight",5757369,https://steampricehistory.com/app/381210,19.99,0.0,"309,366"
204360,"Castle Crashers",5555066,https://steampricehistory.com/app/204360,14.99,0.0,"55,273"
242760,"The Forest",5552274,https://steampricehistory.com/app/242760,19.99,0.0,"205,935"
203160,"Tomb Raider",5495033,https://steampricehistory.com/app/203160,14.99,0.0,"108,437"
292030,"The Witcher 3: Wild Hunt",5479626,https://steampricehistory.com/app/292030,39.99,0.0,"433,689"
431960,"Wallpaper Engine",5279723,https://steampricehistory.com/app/431960,3.59,-10%,"279,396"
206420,"Saints Row IV",5275914,https://steampricehistory.com/app/206420,14.99,0.0,"50,127"
10180,"Call of Duty: Modern Warfare 2",5267226,https://steampricehistory.com/app/10180,19.99,0.0,"19,486"
22380,"Fallout: New Vegas",5222533,https://steampricehistory.com/app/22380,9.99,0.0,"92,010"
55230,"Saints Row: The Third",5143189,https://steampricehistory.com/app/55230,9.99,0.0,"40,674"
42910,Magicka,4976290,https://steampricehistory.com/app/42910,9.99,0.0,"15,482"
200710,"Torchlight II",4963949,https://steampricehistory.com/app/200710,19.99,0.0,"27,442"
24240,"PAYDAY The Heist",4944712,https://steampricehistory.com/app/24240,14.99,0.0,"18,343"
413150,"Stardew Valley",4913541,https://steampricehistory.com/app/413150,14.99,0.0,"270,751"
231430,"Company of Heroes 2",4654955,https://steampricehistory.com/app/231430,19.99,0.0,"46,049"
500,"Left 4 Dead",4604963,https://steampricehistory.com/app/500,9.99,0.0,"24,755"
20920,"The Witcher 2: Assassins of Kings Enhanced Edition",4585616,https://steampricehistory.com/app/20920,19.99,0.0,"54,511"
8870,"BioShock Infinite",4563627,https://steampricehistory.com/app/8870,7.49,-75%,"78,369"
