id,year,review_score,total_positive,total_negative,total_reviews,Players
342480,2016,5,653,299,952,241759
342550,2016,5,112,72,184,4951
342970,2016,5,147,69,216,63213
345010,2016,6,215,87,302,11661
345480,2016,6,55,17,72,4214
345700,2016,5,75,40,115,4474
345990,2016,6,27,9,36,3019
346610,2016,5,38,27,65,4253
347060,2016,5,36,34,70,5043
347280,2016,6,26,11,37,1197
347330,2016,7,10,1,11,1842
347720,2016,8,187,18,205,6253
348030,2016,5,176,129,305,10204
348460,2016,5,239,275,514,101843
348670,2016,5,772,544,1316,143017
348740,2016,7,8,2,10,2664
349040,2016,8,12999,2719,15718,965482
350090,2016,5,18,14,32,3012
350110,2016,5,181,216,397,39288
350480,2016,7,30,6,36,1122
350600,2016,5,115,57,172,6422
350640,2016,6,1673,570,2243,144312
350740,2016,8,864,77,941,57122
351320,2016,7,14,2,16,392
351330,2016,7,23,4,27,1029
351630,2016,5,88,94,182,45681
351720,2016,7,31,7,38,21144
351730,2016,5,72,46,118,7541
351920,2016,9,2053,67,2120,88976
351940,2016,8,1127,175,1302,633209
351990,2016,8,1035,177,1212,51129
352240,2016,5,76,46,122,6719
352370,2016,6,31,11,42,2896
352790,2016,6,12,5,17,1826
352890,2016,6,192,61,253,19612
353130,2016,5,990,506,1496,402752
353190,2016,5,151,84,235,9210
353580,2016,8,118,17,135,6060
353630,2016,5,72,67,139,14452
353700,2016,8,821,100,921,61366
353890,2016,6,54,14,68,2953
354280,2016,7,14,2,16,754
354400,2016,8,205,8,213,8642
354740,2016,8,75,5,80,6386
354860,2016,6,266,82,348,69112
355060,2016,5,237,221,458,26820
355310,2016,5,27,14,41,1116
355510,2016,5,11,16,27,1460
355690,2016,7,14,2,16,1008
355800,2016,5,439,246,685,73251
355920,2016,8,187,23,210,106799
356400,2016,8,1481,114,1595,95420
356460,2016,7,23,5,28,1124
357010,2016,7,29,6,35,2048
357030,2016,6,16,6,22,1953
357120,2016,6,123,34,157,19142
357340,2016,8,488,47,535,38592
357490,2016,7,14,2,16,2433
357670,2016,6,115,49,164,18658
358080,2016,5,107,78,185,165616
358130,2016,8,1404,158,1562,124777
358460,2016,6,157,62,219,28318
358750,2016,8,471,83,554,42444
358760,2016,7,14,3,17,448
358830,2016,8,168,23,191,15166
359140,2016,8,339,15,354,12562
359350,2016,8,246,53,299,27778
359870,2016,8,5453,506,5959,568989
360880,2016,5,19,23,42,7388
361040,2016,8,214,11,225,6631
361280,2016,8,2637,291,2928,452658
361300,2016,8,2149,352,2501,157371
361350,2016,8,57,7,64,3150
362380,2016,7,17,2,19,4132
362960,2016,8,5133,802,5935,562631
363270,2016,5,35,22,57,7312
363420,2016,8,279,25,304,20602
363520,2016,6,164,69,233,17630
363530,2016,4,62,184,246,5592
