id,name
1,Action
25,Adventure
37,Free to Play
29,Massively Multiplayer
3,RPG
23,Indie
28,Simulation
2,Strategy
4,Casual
51,Анимация и моделирование
53,Дизайн и иллюстрация
55,Обработка фото
57,Утилиты
70,Early Access
9,Racing
18,Sports
73,Violent
74,Gore
58,Video Production
71,Sexual Content
72,Nudity
54,Education
56,Software Training
60,Game Development
59,Web Publishing
