id,category,genre
4920,"1,49,36,22,29,30,23,8,17","1,23,2"
236850,"2,1,27,22,29,30,23","28,2"
281990,"2,1,27,22,29,30,23","28,2"
223470,"2,22,28,29,30,23,17","1,25,23"
233720,"2,22,29,23","1,23,28"
305620,"2,22,28,29,23,43","25,23,28,2"
274190,"2,1,49,36,37,9,38,39,24,28,17,41,42,43,44","1,25,4,23"
274940,"2,1,49,36,22,28,29,13,30,35,23,8,15,25,17","1,23"
209000,"2,22,28,29,23,25","1,25"
235540,"2,1,9,38,22,29,13,18,23","1,23"
248820,"2,1,9,24,22,29,18,42,44","1,23,3"
201810,"2,22,18,25",1
238090,"2,1,9,22,28,29,23,25,43","1,25"
108710,"2,22,28,29,23,43","1,25"
234140,"2,22,28,29,23,41,42,43","1,25"
287700,"2,1,22,28,29,13,35,23,25,41,42,43","1,25"
204100,"2,1,22,18",1
268910,"2,1,9,39,24,22,28,29,23,41,42,43,44","1,23"
200170,"2,1,9,24,22,29,18,23,25,44",2
245620,"2,1,9,27,22,29,30,23,17","3,28,2"
427520,"2,1,9,38,48,27,22,23,17,42","4,23,28,2"
239820,"2,22,29,30,23,42","4,23,28,2"
285900,"1,49,36,37,24,22,28,41,42,43,44","1,25,4,23,28"
435150,"2,1,49,36,37,9,38,39,24,22,28,29,13,30,23,17,42,43,44","25,3,2"
493340,"2,22,29,30,23","1,25,4,28,2"
233130,"2,22,28,29,13,23,43","1,25"
3590,"2,22,41,42",2
320300,2,"9,28"
245170,"2,1,49,36,37,22,28,29,23,25,41,42,43,44","1,23"
238430,"2,1,49,36,37,9,38,39,24,22,29,30,18,23,25,17,44","1,25,23"
242050,"2,1,35","1,25"
35700,"2,1,9,38,39,24,22,28,29,30,23,17,41,42,43,44","1,25,23"
393380,"1,49,36,29,30,18,8","1,23,29,2"
110800,"2,22,18","25,2"
12900,"2,9,22,28",23
208140,"2,1,49,36,27,22,29,23",2
326460,"2,1,49,36,37,9,38,39,24,22,29,18,15,25,17,41,42,44","1,4,23,29,2"
208580,"2,22,28,30,23,42",3
289130,"2,1,49,36,27,22,29,30,18,23","3,2"
250400,"2,1,9,24,22,28,29,23,25,43,44","1,25,3"
269210,"2,1,9,38,39,24,27,22,28,29,23,43,44","1,25,23,29,3"
373420,"2,1,9,24,27,22,28,29,13,23,44","25,23,3,2"
287390,"2,22,28,29,23,43",1
244930,"2,22,28,29,31,23,25","4,23,28,18"
241600,"2,22,28,29,23,43","1,25,23,3"
219990,"2,1,9,38,48,22,28,29,23,42,43","1,25,23,3"
307780,"2,1,49,37,22,28,29,23,25,41,42,43,44",1
335300,"2,1,9,22,28,41,42,43","1,3"
282440,"2,1,22,29,30,18,23,15",1
209160,"2,1,22,28,23,8,25,43",1
582660,"1,20,49,36,9,38,29,35,18","1,25,29,3,28,2"
208650,"2,22,28,29,23,25,41,42,43","1,25"
275850,"2,1,49,36,9,38,22,28,23,42,43","1,25"
266840,"2,1,9,22,29,30,23,15,25,17","28,2"
238010,"2,22,29,13,18,23,14,42","1,3"
394360,"2,1,9,27,22,29,30,23,42","28,2"
325610,"2,1,49,36,47,9,38,48,22,29,23",2
237930,"2,22,28,29,23,43","1,23,3"
322170,"2,22,29,18,17,41,42","1,23"
221040,"2,1,9,24,22,29,18,23,8,25,44","1,25"
239160,"2,22,28,29,23,25,43","1,25"
45760,"2,1,49,37,22,28,29,23,25,43,44",1
427730,"1,49,36,37,24,27,22,18,44","1,4,23"
298630,"2,22,29,30,23,25","1,25,23,28,2"
218680,"2,22,29,30,23","25,4,2"
409710,"2,22,28,23,14,41,42,43","1,3"
22600,"2,1,49,37,22,18,23,15,25,44",2
20570,"2,1,9,23",2
242700,"2,1,22,28,29,23,25,43",1
224760,"2,22,28,23,25",23
291650,"2,22,29,23,14,42",3
236430,"2,1,9,22,28,41,42,43","1,3"
552500,"2,1,9,38,22,29,18","1,23"
225260,"2,1,49,36,22,28,29,23,41,42,43","1,25,2"
212480,"2,1,24,22,28,29,23,8,41,42,43,44","9,18"
48720,"2,1,22","1,3"
10680,"2,1,9,22,23,15,25",1
433340,"2,22,28,29,23,41,42,43","1,25,23,28"
3830,"2,22,29,18,23,41,42",1
391720,"2,22,29,18,23,42","25,23"
657200,"2,1,49,36,22,29,15",28
312530,"2,1,49,36,47,37,24,22,28,29,30,23,17,41,42,43,44","1,23"
55100,"2,1,22,18,23,8",1
524220,"2,22,29,18,23,41,42","1,3"
337000,"2,22,28,29,23","1,3"
313120,"2,1,9,38,39,24,22,28,30,15,25,17,43,44","25,23"
242860,"2,1,49,36,22,28,29,23,25","1,23,29,28,2"
67370,"2,9,22,18",1
311690,"2,1,24,22,28,23,41,42,43,44","1,25,23"
440900,"2,1,49,36,9,38,22,28,29,30,42,43","1,25,29,3,28,2"
236370,"2,1,9,27,22,18,23,15,25","1,23,3,28,70"
39140,"2,22,18,41,42",3
403640,"2,22,28,29,23,42,43",1
209650,"2,1,22,28,23,8,25,43",1
