id,year,review_score,total_positive,total_negative,total_reviews,Players
407310,2017,9,509,13,522,27742
407530,2017,5,4175,2828,7003,2284297
408410,2017,8,555,35,590,31098
408520,2017,8,421,35,456,9389
409410,2017,5,26,15,41,2606
409850,2017,8,177,41,218,18248
410830,2017,8,59,6,65,2248
410840,2017,6,163,43,206,9572
410900,2017,6,1378,354,1732,483174
411120,2017,8,163,27,190,48850
411300,2017,6,5875,1713,7588,254457
411480,2017,5,79,66,145,58623
411970,2017,8,283,7,290,15235
412620,2017,8,92,8,100,3427
414340,2017,8,14216,1226,15442,422733
414530,2017,5,950,675,1625,404721
414700,2017,8,7802,1202,9004,387821
414740,2017,5,693,637,1330,41266
415090,2017,7,20,2,22,340
415170,2017,8,198,5,203,6229
415300,2017,6,156,46,202,18594
415880,2017,6,681,218,899,226459
416210,2017,6,629,208,837,86444
416360,2017,8,69,2,71,4046
416530,2017,8,49,4,53,3345
417400,2017,7,12,2,14,188
418060,2017,5,52,25,77,5906
418370,2017,8,15768,1384,17152,668829
418460,2017,6,11458,3155,14613,952431
418650,2017,9,1679,66,1745,179033
419020,2017,6,15,4,19,633
419480,2017,6,1497,416,1913,114116
420180,2017,8,57,10,67,3937
420980,2017,8,128,11,139,10595
421020,2017,5,2541,1365,3906,270550
422810,2017,6,1083,354,1437,69036
423490,2017,8,233,47,280,17133
424840,2017,8,4797,587,5384,280612
425240,2017,6,75,24,99,8710
426190,2017,8,79,13,92,8604
426310,2017,6,139,50,189,8498
427240,2017,8,339,36,375,17351
427270,2017,5,3473,1682,5155,1115355
427490,2017,8,221,35,256,8264
427570,2017,5,81,56,137,10484
427700,2017,8,156,4,160,3466
428200,2017,5,153,66,219,5659
428690,2017,6,5461,1978,7439,714623
428860,2017,8,92,14,106,3681
428980,2017,4,4,13,17,749
429660,2017,8,5377,305,5682,284444
429780,2017,6,330,129,459,21045
430210,2017,6,429,151,580,36544
430410,2017,8,63,11,74,4679
430890,2017,7,17,1,18,6493
431120,2017,8,110,17,127,9836
431650,2017,6,284,95,379,24670
431700,2017,8,60,3,63,1771
432420,2017,5,8,7,15,392
432940,2017,8,57,6,63,2000
432950,2017,5,53,23,76,18173
433190,2017,5,56,27,83,3996
433340,2017,9,17305,653,17958,1216760
433530,2017,8,1142,285,1427,72180
433900,2017,5,41,27,68,1192
434160,2017,8,46,6,52,1122
434310,2017,6,23,8,31,1322
434360,2017,5,44,31,75,3716
434460,2017,6,1065,273,1338,270427
434510,2017,8,178,41,219,89730
434600,2017,6,25,9,34,665
435020,2017,6,43,18,61,1667
435100,2017,6,116,38,154,7378
435150,2017,9,28259,1357,29616,1688895
435400,2017,9,2913,58,2971,152554
436070,2017,7,15,2,17,522
436180,2017,5,679,686,1365,207863
436230,2017,8,117,26,143,7813
436290,2017,6,170,64,234,13744
436320,2017,8,1494,240,1734,152832
436520,2017,5,3801,2811,6612,1853533
436670,2017,8,361,22,383,14844
437220,2017,5,9037,6540,15577,843301
437250,2017,8,175,25,200,9203
437390,2017,8,98,24,122,24578
437720,2017,5,47,24,71,5961
438320,2017,8,133,1,134,3290
438740,2017,5,14544,6258,20802,629644
440650,2017,8,1445,165,1610,97394
